ID,weight,3rd,3thru6,3thru9,3thru12,6thru9,9thru12,6thru12,Laterals
F2_003,0.14,11,30,54,80,24,26,50,2
F2_004,0.22,15,45,91,123,46,32,78,3
F2_008,0.23,9,27,62,109,35,47,82,1
F2_010,0.2,9,24,49,81,25,32,57,1
F2_016,0.39,12,32,66,94,34,28,62,0
F2_017,0.26,9,32,60,97,28,37,65,3
F2_018,0.16,12,33,62,87,29,25,54,0
F2_020,0.26,15,45,75,108,30,33,63,0
F2_023,0.32,11,29,59,88,30,29,59,3
F2_024,0.32,16,33,74,115,41,41,82,0
F2_028,0.23,13,37,67,96,30,29,59,0
F2_032,0.21,9,28,51,80,23,29,52,0
F2_033,0.29,13,37,71,104,34,33,67,9
F2_034,0.33,13,34,67,102,33,35,68,1
F2_037,0.24,9,29,59,85,30,26,56,5
F2_038,0.25,9,37,71,,34,,,
F2_040,0.38,10,29,53,77,24,24,48,0
F2_043,0.32,12,32,66,96,34,30,64,3
F2_044,0.16,9,26,44,73,18,29,47,2
F2_045,0.28,17,45,83,112,38,29,67,0
F2_046,0.14,10,32,55,89,23,34,57,4
F2_048,0.3,11,31,52,82,21,30,51,0
F2_049,0.28,10,20,45,59,25,14,39,0
F2_051,0.2,9,31,56,90,25,34,59,0
F2_052,0.32,15,43,61,77,18,16,34,2
F2_056,0.43,12,33,64,95,31,31,62,0
F2_057,0.18,8,23,44,72,21,28,49,7
F2_058,0.22,8,26,53,91,27,38,65,1
F2_059,0.29,12,33,66,96,33,30,63,5
F2_060,0.31,11,32,59,85,27,26,53,3
F2_063,0.24,13,40,73,105,33,32,65,1
F2_064,0.41,,49,91,119,42,28,70,0
F2_065,0.24,14,40,77,100,37,23,60,0
F2_066,0.27,9,26,49,84,23,35,58,0
F2_067,0.27,11,29,53,80,24,27,51,0
F2_068,0.07,8,25,55,77,30,22,52,0
F2_072,0.32,11,52,,,,,,
F2_073,0.47,13,39,77,110,38,33,71,1
F2_074,0.32,14,37,72,108,35,36,71,1
F2_076,0.08,17,46,81,117,35,36,71,0
F2_077,0.35,14,40,79,109,39,30,69,0
F2_078,0.22,11,32,60,96,28,36,64,0
F2_083,0.27,14,39,68,100,29,32,61,3
F2_085,0.08,6,18,41,72,23,31,54,1
F2_091,0.14,14,42,,,,,,
F2_093,0.26,17,45,89,126,44,37,81,1
F2_094,0.11,10,31,49,79,18,30,48,0
F2_095,0.42,,21,,,,,,
F2_096,0.01,13,42,83,110,41,27,68,0
F2_097,0.04,8,24,49,76,25,27,52,2
F2_099,0.62,15,43,79,113,36,34,70,0
F2_100,0.11,9,37,60,82,23,22,45,1
F2_101,0.32,12,36,76,120,40,44,84,0
F2_102,0.43,9,35,75,109,40,34,74,0
F2_103,0.31,11,30,66,98,36,32,68,0
F2_104,0.21,12,34,65,92,31,27,58,0
F2_105,0.31,12,34,64,104,30,40,70,0
F2_106,0.46,,52,86,115,34,29,63,0
F2_108,0.34,12,35,67,102,32,35,67,0
F2_110,0.28,11,33,70,112,37,42,79,0
F2_111,0.39,11,41,70,95,29,25,54,3
F2_113,0.16,9,32,58,84,26,26,52,0
F2_114,0.28,10,34,61,91,27,30,57,1
F2_115,0.45,10,25,61,95,36,34,70,2
F2_116,0.23,12,36,60,,24,,,1
F2_117,0.24,11,49,70,94,21,24,45,4
F2_119,0.33,8,35,69,,34,,,
F2_120,0.03,,30,,,,,,1
F2_121,0.2,7,26,54,80,28,26,54,1
F2_122,0.06,,23,52,92,29,40,69,2
F2_123,0.42,10,37,80,120,43,40,83,3
F2_124,0.21,9,33,66,96,33,30,63,0
F2_125,0.34,13,37,74,110,37,36,73,4
F2_126,0.06,7,21,41,64,20,23,43,0
F2_127,0.23,10,27,54,80,27,26,53,0
F2_128,0.14,10,41,80,100,39,20,59,0
F2_131,0.35,10,36,60,87,24,27,51,1
F2_133,0.27,8,26,51,86,25,35,60,1
F2_135,0.41,11,40,76,,36,,,
F2_137,0.13,16,49,80,106,31,26,57,1
F2_138,0.26,11,34,59,83,25,24,49,2
F2_139,0.25,8,30,64,100,34,36,70,0
F2_141,0.04,,30,50,62,20,12,32,7
F2_142,0.36,8,30,58,91,28,33,61,0
F2_143,0.22,9,33,60,93,27,33,60,2
F2_144,0.07,13,43,73,,30,,,
F2_145,0.38,12,36,73,109,37,36,73,4
F2_147,0.4,13,43,77,116,34,39,73,0
F2_148,0.39,10,30,67,103,37,36,73,2
F2_150,0.35,10,35,76,104,41,28,69,3
F2_151,0.18,10,36,66,99,30,33,63,0
F2_152,0.36,9,28,60,105,32,45,77,4
F2_153,0.21,11,34,62,101,28,39,67,5
F2_157,0.35,8,25,54,93,29,39,68,0
F2_158,0.14,,30,60,95,30,35,65,3
F2_159,0.37,8,25,57,90,32,33,65,0
F2_161,0.29,10,35,66,96,31,30,61,0
F2_162,0.4,9,29,57,102,28,45,73,0
F2_163,0.2,10,37,71,108,34,37,71,2
F2_165,0.28,6,29,69,101,40,32,72,0
F2_166,0.15,8,30,56,90,26,34,60,5
F2_167,0.23,11,43,80,120,37,40,77,7
F2_214,0.17,9,32,67,92,35,25,60,0
F2_247,0.23,11,34,71,96,37,25,62,2
F2_250,0.06,10,28,41,64,13,23,36,2
F2_251,0.11,7,21,48,75,27,27,54,1
F2_254,0.24,7,27,48,74,21,26,47,0
F2_401,0.12,7,26,45,,19,,,
F2_423,0.09,17,31,60,109,29,49,78,1
F2_427,0.2,13,43,81,109,38,28,66,3
F2_436,0.19,16,45,91,118,46,27,73,2
F2_439,0.18,10,31,61,85,30,24,54,3
F2_462,0.16,11,36,69,89,33,20,53,0
F2_482,0.05,15,55,89,105,34,16,50,0
F2_491,0.28,13,39,70,96,31,26,57,4
F2_508,0.22,12,42,70,98,28,28,56,2
F2_514,0.001,,16,,,,,,
F2_515,0.23,10,35,66,94,31,28,59,0
F2_516,0.01,,15,39,54,24,15,39,0
F2_521,0.14,10,30,61,90,31,29,60,3
F2_522,0.05,,25,44,61,19,17,36,3
F2_525,0.19,12,35,53,75,18,22,40,2
F2_527,0.19,9,27,54,100,27,46,73,7
F2_600,0.35,11,38,72,103,34,31,65,5
F2_604,0.25,14,30,63,94,33,31,64,2
F2_605,0.22,9,30,60,90,30,30,60,0
F2_607,0.11,8,27,52,74,25,22,47,0
F2_608,0.11,8,29,63,90,34,27,61,0
F2_609,0.32,11,47,91,122,44,31,75,4
F2_610,0.21,6,25,54,83,29,29,58,2
F2_611,0.32,11,41,74,104,33,30,63,0
F2_612,0.24,13,35,70,112,35,42,77,6
F2_613,0.13,7,24,48,75,24,27,51,0
F2_614,0.33,14,39,75,108,36,33,69,0
F2_616,0.34,12,36,75,107,39,32,71,0
F2_617,0.23,9,31,59,82,28,23,51,0
F2_619,0.47,,35,68,111,33,43,76,3
F2_620,0.26,8,29,57,88,28,31,59,2
F2_621,0.23,12,33,65,89,32,24,56,0
F2_622,0.26,14,47,92,125,45,33,78,0
F2_623,0.1,13,37,70,99,33,29,62,3
F2_624,0.19,11,35,74,109,39,35,74,0
F2_625,0.29,11,40,80,111,40,31,71,4
F2_626,0.29,12,39,82,124,43,42,85,2
F2_627,0.25,11,34,64,92,30,28,58,0
F2_628,0.21,9,28,63,94,35,31,66,0
F2_629,0.21,9,29,62,100,33,38,71,0
F2_631,0.27,10,34,64,86,30,22,52,0
F2_633,0.27,10,41,85,116,44,31,75,0
F2_634,0.2,11,38,72,102,34,30,64,0
F2_635,0.24,7,25,53,74,28,21,49,0
F2_636,0.13,16,46,91,132,45,41,86,0
F2_638,0.13,8,30,65,97,35,32,67,0
F2_639,0.34,10,40,75,110,35,35,70,0
F2_640,0.15,8,33,64,87,31,23,54,0
F2_641,0.18,14,45,83,106,38,23,61,0
F2_642,0.3,10,33,70,98,37,28,65,0
F2_643,0.13,12,34,61,89,27,28,55,0
F2_644,0.19,8,29,55,75,26,20,46,0
F2_645,0.27,10,40,76,104,36,28,64,2
F2_647,0.12,10,30,53,74,23,21,44,2
F2_648,0.11,9,29,56,78,27,22,49,0
F2_650,0.32,12,36,74,112,38,38,76,2
F2_651,0.21,13,36,68,89,32,21,53,0
F2_653,0.3,10,35,74,101,39,27,66,0
F2_654,0.36,10,32,62,91,30,29,59,0
F2_656,0.2,8,26,50,69,24,19,43,2
F2_657,0.23,13,40,75,104,35,29,64,0
F2_660,0.3,13,36,67,101,31,34,65,2
F2_661,0.12,11,29,50,71,21,21,42,1
F2_663,0.19,7,24,49,71,25,22,47,4
F2_665,0.36,14,47,82,114,35,32,67,0
F2_666,0.12,13,34,65,87,31,22,53,2
F2_667,0.15,9,29,51,75,22,24,46,0
F2_668,0.14,10,34,71,95,37,24,61,2
F2_669,0.15,11,30,61,94,31,33,64,0
F2_670,0.16,11,35,67,86,32,19,51,0
F2_671,0.4,9,34,69,110,35,41,76,2
F2_672,0.12,10,27,52,77,25,25,50,0
F2_673,0.1,9,28,57,87,29,30,59,1
F2_675,0.2,10,40,79,103,39,24,63,0
F2_676,0.25,9,34,69,102,35,33,68,2
F2_677,0.24,15,40,75,104,35,29,64,0
F2_678,0.14,11,34,66,90,32,24,56,0
F2_679,0.17,10,39,67,94,28,27,55,0
F2_681,0.33,10,33,62,84,29,22,51,1
F2_682,0.14,12,34,69,118,35,49,84,0
F2_683,0.23,10,29,60,87,31,27,58,0
F2_684,0.24,10,36,68,89,32,21,53,0
F2_685,0.19,8,31,54,80,23,26,49,0
F2_686,0.11,9,23,50,70,27,20,47,0
F2_687,0.19,9,28,52,78,24,26,50,1
F2_688,0.22,8,27,58,85,31,27,58,0
F2_689,0.32,13,39,64,90,25,26,51,3
F2_690,0.15,13,39,67,109,28,42,70,3
F2_691,0.24,9,37,53,83,16,30,46,0
F2_693,0.06,7,25,42,57,17,15,32,0
F2_694,0.17,12,38,72,95,34,23,57,0
F2_695,0.26,12,44,84,105,40,21,61,3
F2_696,0.12,9,31,56,80,25,24,49,1
F2_697,0.06,7,20,41,60,21,19,40,0
F2_698,0.06,10,32,63,90,31,27,58,7
F2_699,0.41,8,33,67,101,34,34,68,0
F2_700,0.38,8,23,48,81,25,33,58,0
F2_701,0.55,10,40,78,115,38,37,75,6
F2_702,0.14,9,27,49,82,22,33,55,0
F2_703,0.29,9,25,47,82,22,35,57,1
F2_704,0.29,13,35,65,87,30,22,52,0
F2_705,0.24,6,18,40,70,22,30,52,0
F2_706,0.06,7,22,48,77,26,29,55,0
F2_707,0.4,7,28,66,92,38,26,64,3
F2_708,0.27,11,33,71,120,38,49,87,0
F2_709,0.38,10,31,62,97,31,35,66,7
F2_710,0.25,12,28,63,100,35,37,72,2
F2_711,0.29,9,30,60,96,30,36,66,4
F2_712,0.19,15,30,49,69,19,20,39,2
F2_713,0.31,14,40,76,106,36,30,66,8
F2_714,0.22,13,40,77,107,37,30,67,0
F2_715,0.3,11,36,74,106,38,32,70,2
F2_716,0.14,7,17,45,82,28,37,65,0
F2_717,0.34,11,33,63,100,30,37,67,9
F2_718,0.46,13,40,74,109,34,35,69,0
F2_719,0.37,10,30,57,83,27,26,53,3
F2_720,0.35,10,31,62,93,31,31,62,2
F2_721,0.33,7,24,55,88,31,33,64,0
F2_722,0.28,11,32,62,95,30,33,63,0
F2_723,0.19,6,25,50,75,25,25,50,1
F2_724,0.17,10,27,51,74,24,23,47,0
F2_725,0.34,14,41,77,118,36,41,77,2
F2_726,0.14,7,36,76,115,40,39,79,0
F2_727,0.41,11,41,78,106,37,28,65,6
F2_728,0.33,13,35,70,96,35,26,61,0
F2_730,0.34,11,37,70,105,33,35,68,2
F2_731,0.26,9,30,66,100,36,34,70,1
F2_732,0.44,10,30,60,94,30,34,64,0
F2_733,0.45,10,38,82,125,44,43,87,0
F2_734,0.32,9,30,56,84,26,28,54,0
F2_735,0.12,11,33,71,107,38,36,74,1
F2_736,0.3,11,36,71,107,35,36,71,0
F2_737,,9,56,,,,,,
F2_738,0.23,8,50,,,,,,
F2_739,0.27,9,53,,,,,,
F2_740,0.26,13,38,66,107,28,41,69,0
F2_741,0.26,10,30,71,112,41,41,82,0
F2_742,0.17,6,19,39,69,20,30,50,0
F2_744,0.39,10,29,60,96,31,36,67,6
F2_745,0.34,10,33,60,90,27,30,57,0
F2_746,0.26,12,37,68,100,31,32,63,3
F2_747,0.23,7,30,60,93,30,33,63,2
F2_748,0.15,8,28,57,88,29,31,60,0
F2_749,0.19,11,36,65,93,29,28,57,1
F2_750,0.22,12,35,63,93,28,30,58,2
F2_751,0.14,9,30,59,82,29,23,52,0
F2_752,0.17,8,23,49,75,26,26,52,0
F2_753,0.01,,24,47,,23,,,
F2_755,0.23,,17,38,67,21,29,50,3
F2_756,0.11,11,32,62,93,30,31,61,0
F2_757,0.35,14,48,84,116,36,32,68,5
F2_759,0.06,7,24,45,67,21,22,43,0
F2_760,0.45,12,42,68,100,26,32,58,0
F2_761,0.02,6,20,43,64,23,21,44,0
F2_762,0.33,11,38,68,98,30,30,60,1
F2_764,0.27,10,37,57,89,20,32,52,0
F2_766,0.08,9,30,59,86,29,27,56,2
F2_767,,7,22,48,82,26,34,60,0
F2_768,0.24,14,34,59,88,25,29,54,0
F2_769,0.11,7,25,48,76,23,28,51,4
F2_771,0.56,13,45,82,113,37,31,68,0
F2_772,0.28,8,29,64,93,35,29,64,0
F2_773,0.04,,16,34,78,18,44,62,0
F2_774,0.27,9,29,62,101,33,39,72,1
F2_775,0.3,10,32,60,87,28,27,55,2
F2_776,0.18,9,29,65,95,36,30,66,0
F2_777,0.19,11,37,71,102,34,31,65,3
F2_778,0.04,6,17,27,39,10,12,22,0
F2_779,,8,31,63,88,32,25,57,0
F2_780,,9,33,62,88,29,26,55,2
F2_781,,7,21,44,72,23,28,51,0
F2_782,,9,28,55,78,27,23,50,1
F2_783,,6,21,42,60,21,18,39,0
F2_784,,6,21,47,,26,,,
F2_785,,9,31,61,89,30,28,58,0
F2_786,,15,44,77,114,33,37,70,4
F2_787,,10,31,58,96,27,38,65,0
F2_788,,,14,,,,,,
F2_789,,6,22,44,64,22,20,42,0
F2_790,,7,25,52,72,27,20,47,0
F2_791,,10,35,67,95,32,28,60,0
F2_792,,9,25,54,80,29,26,55,0
F2_793,,9,26,51,71,25,20,45,2
F2_794,,8,28,62,93,34,31,65,0
F2_795,,10,30,62,92,32,30,62,2
F2_797,,12,41,71,93,30,22,52,0
F2_798,,8,27,55,70,28,15,43,0
F2_799,,6,17,44,74,27,30,57,2
F2_807,,9,31,52,70,21,18,39,3
F2_821,,9,30,63,88,33,25,58,0
F2_826,,,9,23,78,14,55,69,2
F2_878,,,20,36,51,16,15,31,2
F2_904,,6,19,41,63,22,22,44,3
